index,cond,k,window,n,signals_per_day,k_share,p0_med,otm_pts_med,p_2x,p_3x,p_5x,p_10x,net_mean,net_median,p_net_pos,p_lose_half,take5_mean,take3_mean
BANKNIFTY,GO,0,09:15–09:45,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,09:45–10:15,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,10:15–10:45,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,10:45–11:15,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,11:15–11:45,2,0.013333333333333334,"{""1"": 1.0}",147.71697801908886,67.89999999999782,0.0,0.0,0.0,0.0,-23.38977843061966,-23.38977843061966,50.0,50.0,-23.38977843061966,-23.38977843061966
BANKNIFTY,GO,0,11:45–12:15,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,12:15–12:45,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,0,12:45–13:15,4,0.02666666666666667,"{""1"": 1.0}",157.255279495198,111.67499999999927,0.0,0.0,0.0,0.0,-27.566949401939578,-23.597475211098697,25.0,25.0,-27.566949401939578,-27.566949401939578
BANKNIFTY,GO,0,13:15–13:45,5,0.03333333333333333,"{""1"": 1.0}",129.27694390281613,85.44999999999709,40.0,20.0,0.0,0.0,28.397696584375552,-11.248835953137327,40.0,0.0,28.397696584375552,59.605211574441675
BANKNIFTY,GO,0,13:45–14:15,17,0.11333333333333333,"{""1"": 0.53, ""2"": 0.47}",22.95456591722177,133.9499999999971,52.94117647058824,23.52941176470588,5.88235294117647,0.0,27.864354215987568,5.773180099690967,52.94117647058824,35.294117647058826,32.73488339368256,31.533934453826127
BANKNIFTY,GO,0,14:15–14:55,87,0.58,"{""1"": 0.67, ""2"": 0.33}",22.469432375439283,131.1999999999971,43.67816091954023,27.586206896551722,12.643678160919542,2.2988505747126435,100.67740348880739,-1.2192070134184219,49.42528735632184,33.33333333333333,66.19955600671315,33.22214758028979
BANKNIFTY,GO,0,all,115,0.7666666666666667,"{""1"": 0.68, ""2"": 0.32}",24.373592042296877,125.69999999999709,42.608695652173914,25.217391304347824,10.434782608695652,1.7391304347826086,80.1527761187036,-3.7316430818727375,48.69565217391305,32.17391304347826,54.78952624982198,31.020716770464933
BANKNIFTY,GO,1,09:15–09:45,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,1,09:45–10:15,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,1,10:15–10:45,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,1,10:45–11:15,0,0.0,,,,,,,,,,,,,
BANKNIFTY,GO,1,11:15–11:45,2,0.013333333333333334,,147.71697801908886,67.89999999999782,0.0,0.0,0.0,0.0,-23.38977843061966,-23.38977843061966,50.0,50.0,-23.38977843061966,-23.38977843061966
