k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
1,20700,71.31,15.76,5.27,1.06,0.1,1.27,-0.51,-20.38,34.88,24.73,-3.84,-1.52
2,20700,40.87,20.51,8.5,2.64,0.46,1.3,0.82,-30.02,31.08,33.82,-6.99,-3.51
3,20700,21.63,23.9,11.79,4.32,1.09,1.32,0.5,-43.63,26.85,45.07,-11.31,-7.23
