k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
1,21300,58.47,18.65,8.12,3.04,0.67,1.27,-5.69,-35.81,28.32,39.95,-13.15,-9.88
2,21300,30.68,20.65,9.93,4.07,1.22,1.26,-6.63,-50.0,23.1,51.47,-18.04,-15.07
3,21300,14.4,21.23,11.17,4.87,1.46,1.21,-10.05,-50.0,19.05,62.2,-22.36,-18.72
