k,n,p0_med,p_2x,p_3x,p_5x,p_10x,mult_med,net_mean,net_median,p_net_pos,p_lose_half,take3_mean,take5_mean
1,16614,12.5,21.49,9.59,3.49,1.19,1.29,-4.38,-50.0,25.55,50.13,-16.01,-13.42
2,16614,3.75,20.53,10.3,3.77,1.01,1.17,-17.93,-50.0,17.17,67.27,-25.37,-23.0
3,16614,1.5,14.51,8.09,3.46,1.08,1.0,-27.62,-50.0,10.35,81.7,-34.55,-31.95
